post_id,text,likes,comments,reposts,views,attachments
2999179,"WOW. Хейли Бибер в образе Ким Пять с плюсом.

Вторым нарядом для Хэллоуина 2024 бизнесвумен стал образ супершпионки- отличкицы Ким Пять с плюсом из одноименного мультсериала.

Заодно Хейли и затизерила новый шоколадный блеск Rhode, которым, по всей видимости, она накрасила верхнюю губу.",722,5,39,42287,"['photo', 'photo']"
2999170,"Хейди Клум снова удивляет образом на Хэллоуин.

Модель уже давно назвали Королевой Хэллоуина, и каждый поклонник этого праздника ждёт вечеринку Хайди и её новое перевоплощение.

На этот раз Хайди Клум и её муж Том Каулитц нарядились в образы Инопланетян из фильма «Инопланетянин» 1982 года.

Получилось очень масштабно и детализировано, впрочем, как и всегда.",996,8,181,40874,"['photo', 'photo', 'photo', 'photo', 'photo', 'photo']"
2999132,"ЛУЧШЕЕ ПОПАДАНИЕ В ОБРАЗ НА ХЭЛЛОУИН 2024: ИРИНА ШЕЙК В КОСТЮМЕ ЛАРЫ КРОФТ.

Это не первый образ модели для праздника в канун Дня Всех Святых, ранее Ирина перевоплощаясь в карандаш.

Но, кажется, этот костюм - это то, чего мы все так долго ждали.",4330,204,550,104217,"['photo', 'photo', 'photo', 'photo', 'photo']"
2999117,"Эльза Хоск в легендарном образе Принцессы Дианы на Хэллоуин 2024.

Сама леди Ди надела это платье на прием Vanity Fair в Serpentine Gallery в июне 1994-го года сразу после того, как её супруг принц Чарльз признался в своей измене.",506,10,29,36155,"['photo', 'photo', 'photo', 'photo', 'photo']"
2999100,"Муж Ланы Дель Рей оценил: Ким Кардашьян перевоплотилась в аллигатора-альбиноса.

На этот Хэллоуин миллиардерша решила предстать в очень необычном образе аллигатора. Как можно заметить, фотографии хоть и отфотошоплены, сам образ Ким с помошью грима.

Лучший костюм на Хэллоуин 2024 по версии Джереми Дюфрена.",1414,16,234,94793,"['photo', 'photo', 'video', 'video']"
2999098,"Пока одни на Хэллоуин перевоплощаются в Пэрис Хилтон, Пэрис Хилтон перевоплощается в Бритни Спирс.

На этот раз 43-летняя светская львица примерила на себя образ Бритни из клипа «Baby One More Time».",820,3,40,49799,"['photo', 'photo', 'photo', 'photo', 'photo']"
2999070,"Кендалл Дженнер и Хейли Бибер в образах Пэрис Хилтон и Николь Ричи.

Лучшие подруги решили в этом году представить парные образы из популярного шоу Simple Life.

Шоу, кстати, как мы ранее рассказывали, скоро вновь возвращается на большие экраны",1215,14,87,55028,"['photo', 'photo']"
2999068,"Коул Спроус и Ари Фурнье в образах охотника на аллигаторов и Ланы Дель Рей.

32-летний актёр Коул Спроус вместе со своей возлюбленной Ари Фурнье решили не отставать от трендов и примерить на себя, пожалуй, самый популярный парный образ.

Лана создает тренды.",333,2,30,21196,['video']
2999062,"Селена Гомес установила правила для социальных сетей.

Певица не раз переставала вести свои профили, объясняя это тем, что интернет токсичен и плохо влияет на её ментальное здоровье. Но сейчас, когда Гомес всё-таки вернулась в социальные сети, она установила для себя правила.

Например, Селена подписана исключительно на те профили, которые приносят ей удовольствие и вдохновляют. Звезда считает, что нужно уметь правильно пользоваться интернетом и пытается научить этому своих поклонников.",343,12,12,32641,"['photo', 'photo']"
2999042,"«ЧАК БАСС» И ЕГО ЖЕНА СТАНУТ РОДИТЕЛЯМИ.

Не так давно Эд Вествик и Эми Джексон сыграли роскошную свадьбу в Италии, и уже радуют поклонников новостями о пополнении в семье.

Поздравляем!",1088,7,181,43344,"['photo', 'photo', 'photo', 'photo']"
